spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
5948,0,72,85,222785303_EZ013937.1_268-381,CUST_886_PI426227498,4058,0,3,2,-2,1,-1,0,1,0
5949,0,64,156,222785303_EZ013937.1_268-381,CUST_886_PI426227498,5253,1,7,1,0,-3,0,0,1,0
5950,0,95,25,222785303_EZ013937.1_333-437,CUST_889_PI426227498,316,8,17,0,0,0,7,1,3,1
5951,0,39,70,222785303_EZ013937.1_333-437,CUST_889_PI426227498,9396,0,3,0,1,-1,2,1,0,1
5952,0,12,159,222785303_EZ013937.1_333-437,CUST_889_PI426227498,13861,6,14,2,-2,-6,6,-1,3,-1
5953,0,25,37,222785303_EZ013937.1_62-229,CUST_892_PI426227498,11790,1,2,0,2,0,-1,-1,0,0
5954,0,29,86,222785303_EZ013937.1_62-229,CUST_892_PI426227498,11028,1,1,0,0,2,-1,-1,0,0
5955,0,66,111,222785303_EZ013937.1_62-229,CUST_892_PI426227498,5029,-1,1,-2,0,1,2,0,0,0
5956,0,39,57,222785303_EZ013937.1_62-437,CUST_895_PI426227498,9484,1,-1,0,0,1,0,0,1,-1
5957,0,77,107,222785303_EZ013937.1_62-437,CUST_895_PI426227498,3227,3,6,1,3,0,5,1,-8,0
5958,0,20,110,222785303_EZ013937.1_62-437,CUST_895_PI426227498,12492,0,11,0,0,1,4,-1,4,0
5959,0,53,23,222785305_EZ013939.1_82-408,CUST_124_PI426226915,7205,-2,2,0,2,2,2,0,-1,-1
5960,0,25,29,222785305_EZ013939.1_82-408,CUST_124_PI426226915,11794,2,-5,0,1,0,3,0,-11,-3
5961,0,46,51,222785305_EZ013939.1_82-408,CUST_126_PI426226915,8339,2,0,-1,1,-2,-13,0,4,0
5962,0,44,62,222785305_EZ013939.1_82-408,CUST_126_PI426226915,8580,2,2,-1,1,1,0,1,1,0
5963,0,66,91,222785305_EZ013939.1_82-408,CUST_126_PI426226915,5039,2,2,0,-2,-1,0,0,0,2
5964,0,84,121,222785305_EZ013939.1_82-408,CUST_124_PI426226915,2072,2,4,1,1,-2,2,2,-1,1
5965,0,22,2,222785316_EZ013950.1_215-577,CUST_898_PI426227498,12218,3,-10,-2,1,1,1,1,-1,1
5966,0,31,87,222785316_EZ013950.1_215-577,CUST_898_PI426227498,10781,0,0,1,0,1,-1,1,-1,-1
5967,0,94,112,222785316_EZ013950.1_215-577,CUST_896_PI426227498,355,12,7,1,0,1,4,-3,4,1
5968,0,38,119,222785316_EZ013950.1_215-577,CUST_898_PI426227498,9617,3,0,1,0,-1,0,-1,-1,2
5969,0,25,132,222785316_EZ013950.1_215-577,CUST_896_PI426227498,11661,-1,17,0,2,-1,3,0,0,1
5970,0,90,154,222785316_EZ013950.1_215-577,CUST_896_PI426227498,990,6,19,1,2,2,-7,1,1,1
5971,0,94,13,222785316_EZ013950.1_369-491,CUST_901_PI426227498,486,9,4,-1,2,-1,-1,-2,0,-10
5972,0,25,19,222785316_EZ013950.1_369-491,CUST_901_PI426227498,11799,2,2,0,0,1,1,2,1,-2
5973,0,15,78,222785316_EZ013950.1_369-491,CUST_901_PI426227498,13328,3,-1,1,-2,0,1,1,1,0
5974,0,28,8,222785316_EZ013950.1_67-516,CUST_902_PI426227498,11231,1,0,0,0,0,0,2,1,-1
5975,0,79,62,222785316_EZ013950.1_67-516,CUST_902_PI426227498,2840,-4,2,1,0,1,1,-1,0,1
5976,0,85,65,222785316_EZ013950.1_67-516,CUST_904_PI426227498,1936,4,-22,0,1,0,-3,0,2,-3
5977,0,81,80,222785316_EZ013950.1_67-516,CUST_902_PI426227498,2503,2,2,2,1,1,-1,-2,-1,-2
5978,0,2,116,222785316_EZ013950.1_67-516,CUST_904_PI426227498,15441,2,2,0,-1,1,-1,1,-3,2
5979,0,14,155,222785316_EZ013950.1_67-516,CUST_904_PI426227498,13535,1,2,0,0,2,0,0,-1,2
5980,0,5,6,222785316_EZ013950.1_67-577,CUST_905_PI426227498,15004,6,11,-3,2,1,3,0,-2,0
5981,0,87,15,222785316_EZ013950.1_67-577,CUST_905_PI426227498,1633,16,14,0,3,1,4,0,1,-1
5982,0,45,59,222785316_EZ013950.1_67-577,CUST_907_PI426227498,8499,1,5,1,0,2,1,1,0,-1
5983,0,85,70,222785316_EZ013950.1_67-577,CUST_905_PI426227498,1852,13,11,6,2,-1,3,1,-7,-8
5984,0,56,95,222785316_EZ013950.1_67-577,CUST_907_PI426227498,6677,0,-6,3,1,-2,-1,2,0,0
5985,0,77,143,222785316_EZ013950.1_67-577,CUST_907_PI426227498,3209,3,3,2,0,1,1,-3,1,0
5986,0,11,1,222785318_EZ013952.1_158-640,CUST_908_PI426227498,14104,0,3,0,0,0,1,0,0,0
5987,0,35,4,222785318_EZ013952.1_158-640,CUST_910_PI426227498,10085,3,2,1,1,2,0,0,-6,1
5988,0,21,15,222785318_EZ013952.1_158-640,CUST_908_PI426227498,12457,-1,-2,1,1,0,-1,0,-1,1
5989,0,57,78,222785318_EZ013952.1_158-640,CUST_908_PI426227498,6440,1,-1,1,1,1,0,1,-1,0
5990,0,7,153,222785318_EZ013952.1_158-640,CUST_910_PI426227498,14684,1,-3,1,-1,0,1,-1,-2,1
5991,0,39,157,222785318_EZ013952.1_158-640,CUST_910_PI426227498,9434,1,4,-1,0,0,1,-2,-1,2
5992,0,60,90,222785318_EZ013952.1_378-515,CUST_913_PI426227498,5942,1,3,1,1,0,-2,0,1,-5
5993,0,95,111,222785318_EZ013952.1_378-515,CUST_913_PI426227498,273,2,1,2,0,0,3,0,3,-1
5994,0,83,126,222785318_EZ013952.1_378-515,CUST_913_PI426227498,2152,1,4,1,1,0,0,0,-1,-3
5995,0,79,33,222785320_EZ013954.1_1166-1279,CUST_84_PI426266317,2936,2,3,-2,-2,-1,1,1,1,-2
5996,0,93,71,222785320_EZ013954.1_1166-1279,CUST_84_PI426266317,621,0,2,0,-1,-2,2,1,2,3
5997,0,67,102,222785320_EZ013954.1_1166-1279,CUST_84_PI426266317,4788,0,3,-1,-1,-2,1,2,3,0
5998,0,86,44,222785320_EZ013954.1_1279-1404,CUST_87_PI426266317,1701,2,-4,-1,-1,2,2,0,-3,1
5999,0,56,68,222785320_EZ013954.1_1279-1404,CUST_87_PI426266317,6609,1,3,0,1,-7,1,2,-2,-3
6000,0,57,70,222785320_EZ013954.1_1279-1404,CUST_87_PI426266317,6444,0,-1,1,0,-1,1,-1,2,1
6001,0,4,116,222785320_EZ013954.1_416-646,CUST_90_PI426266317,15113,3,10,-1,2,0,8,0,0,1
6002,0,86,124,222785320_EZ013954.1_416-646,CUST_90_PI426266317,1661,10,7,2,1,1,1,3,0,0
6003,0,33,125,222785320_EZ013954.1_416-646,CUST_90_PI426266317,10434,7,15,2,1,-1,6,1,1,0
6004,0,29,9,222785320_EZ013954.1_57-1404,CUST_92_PI426266317,11148,1,2,-1,1,-1,-4,0,0,1
6005,0,49,24,222785320_EZ013954.1_57-1404,CUST_92_PI426266317,7779,2,1,-1,0,-1,2,1,-7,1
6006,0,85,64,222785320_EZ013954.1_57-1404,CUST_93_PI426266317,1855,5,-7,-8,1,-1,-2,0,0,2
6007,0,4,82,222785320_EZ013954.1_57-1404,CUST_93_PI426266317,15130,1,10,-2,2,-2,0,-2,-1,1
6008,0,94,85,222785320_EZ013954.1_57-1404,CUST_92_PI426266317,450,0,0,-2,-1,0,2,-1,2,2
6009,0,45,111,222785320_EZ013954.1_57-1404,CUST_93_PI426266317,8473,0,2,-2,0,-1,0,1,0,-1
6010,0,59,134,222785320_EZ013954.1_57-1404,CUST_91_PI426266317,6084,2,-13,0,-2,2,-1,1,0,1
6011,0,11,137,222785320_EZ013954.1_57-1404,CUST_91_PI426266317,14036,-2,4,0,-1,-1,4,-1,0,-2
6012,0,80,137,222785320_EZ013954.1_57-1404,CUST_91_PI426266317,2720,-2,3,2,1,-1,3,-1,0,2
6013,0,28,90,222785320_EZ013954.1_57-410,CUST_96_PI426266317,11190,0,0,-1,0,-1,3,0,1,0
6014,0,40,103,222785320_EZ013954.1_57-410,CUST_96_PI426266317,9297,-1,1,0,0,1,2,-1,2,-2
6015,0,25,140,222785320_EZ013954.1_57-410,CUST_96_PI426266317,11657,0,-2,1,0,1,1,0,0,0
6016,0,14,55,222785320_EZ013954.1_947-1075,CUST_99_PI426266317,13585,1,2,-1,-1,0,2,0,0,-1
6017,0,6,121,222785320_EZ013954.1_947-1075,CUST_99_PI426266317,14864,0,-1,-1,0,0,-16,-1,-3,1
6018,0,60,135,222785320_EZ013954.1_947-1075,CUST_99_PI426266317,6001,0,-3,0,2,-1,-3,0,1,0
6019,0,7,44,222785329_EZ013963.1_8-1024,CUST_66_PI426227884,14657,-3,2,1,3,0,5,0,0,2
6020,0,75,52,222785329_EZ013963.1_8-1024,CUST_65_PI426227884,3501,2,2,-1,2,-1,1,1,0,1
6021,0,22,71,222785329_EZ013963.1_8-1024,CUST_64_PI426227884,12265,-3,0,0,-7,-1,-3,0,1,0
6022,0,37,75,222785329_EZ013963.1_8-1024,CUST_64_PI426227884,9803,-1,1,1,-1,2,0,1,-1,1
6023,0,87,89,222785329_EZ013963.1_8-1024,CUST_66_PI426227884,1596,-2,1,0,0,0,-12,0,-2,-1
6024,0,36,98,222785329_EZ013963.1_8-1024,CUST_66_PI426227884,9874,1,3,2,-1,2,1,0,0,-2
6025,0,26,105,222785329_EZ013963.1_8-1024,CUST_65_PI426227884,11592,0,0,-3,-2,-1,1,2,0,0
6026,0,13,112,222785329_EZ013963.1_8-1024,CUST_65_PI426227884,13639,1,2,0,0,0,1,-1,0,1
6027,0,4,146,222785329_EZ013963.1_8-1024,CUST_64_PI426227884,15098,0,11,0,-3,0,3,0,0,1
6028,0,18,3,222785330_EZ013964.1_239-427,CUST_32_PI426266366,12955,-4,-9,0,-1,0,4,0,0,-2
6029,0,17,10,222785330_EZ013964.1_239-427,CUST_32_PI426266366,13034,2,3,0,0,-1,4,0,1,0
6030,0,59,23,222785330_EZ013964.1_239-427,CUST_32_PI426266366,6221,1,-4,0,1,-1,1,2,-2,-2
6031,0,43,26,222785330_EZ013964.1_239-427,CUST_31_PI426266366,8762,2,-1,0,-2,-1,-1,-1,-10,1
6032,0,65,31,222785330_EZ013964.1_239-427,CUST_33_PI426266366,5233,-2,4,-1,1,-1,2,1,1,1
6033,0,32,63,222785330_EZ013964.1_239-427,CUST_31_PI426266366,10629,5,8,1,1,0,5,0,1,0
6034,0,41,68,222785330_EZ013964.1_239-427,CUST_31_PI426266366,9069,3,18,2,1,2,2,2,3,-1
6035,0,91,108,222785330_EZ013964.1_239-427,CUST_33_PI426266366,849,2,1,0,-2,0,0,2,0,-5
6036,0,86,131,222785330_EZ013964.1_239-427,CUST_33_PI426266366,1739,-1,-2,0,0,-2,2,-4,0,0
6037,0,64,16,222785330_EZ013964.1_27-212,CUST_35_PI426266366,5323,0,2,-1,0,-1,0,-1,-1,-8
6038,0,89,19,222785330_EZ013964.1_27-212,CUST_34_PI426266366,1303,0,-4,1,-4,0,0,1,-2,2
6039,0,64,37,222785330_EZ013964.1_27-212,CUST_34_PI426266366,5394,1,0,1,0,-2,1,1,-1,0
6040,0,44,87,222785330_EZ013964.1_27-212,CUST_36_PI426266366,8649,1,0,1,-6,0,1,1,-12,-1
6041,0,40,88,222785330_EZ013964.1_27-212,CUST_35_PI426266366,9223,0,1,0,-1,1,2,0,1,1
6042,0,75,105,222785330_EZ013964.1_27-212,CUST_36_PI426266366,3556,2,0,-2,-1,0,1,-2,1,0
6043,0,89,106,222785330_EZ013964.1_27-212,CUST_35_PI426266366,1178,2,-6,-1,-3,-1,2,0,1,0
6044,0,32,108,222785330_EZ013964.1_27-212,CUST_34_PI426266366,10525,0,8,0,3,0,-2,-2,1,1
6045,0,88,109,222785330_EZ013964.1_27-212,CUST_36_PI426266366,1422,3,0,1,2,0,2,1,-11,0
6046,0,45,13,222785330_EZ013964.1_27-427,CUST_38_PI426266366,8522,-1,6,3,-3,-7,-1,-1,2,-1
6047,0,41,28,222785330_EZ013964.1_27-427,CUST_39_PI426266366,9089,1,2,0,1,-3,1,0,1,0
6048,0,19,31,222785330_EZ013964.1_27-427,CUST_39_PI426266366,12777,1,3,1,0,1,2,-2,0,0
6049,0,35,44,222785330_EZ013964.1_27-427,CUST_37_PI426266366,10065,1,1,1,2,-1,1,1,2,1
6050,0,57,59,222785330_EZ013964.1_27-427,CUST_39_PI426266366,6531,2,-8,1,0,0,2,1,-3,1
6051,0,16,90,222785330_EZ013964.1_27-427,CUST_38_PI426266366,13158,1,-1,0,-1,0,-3,-1,-2,1
6052,0,58,90,222785330_EZ013964.1_27-427,CUST_37_PI426266366,6270,0,-1,2,1,-1,-10,1,1,0
6053,0,9,127,222785330_EZ013964.1_27-427,CUST_37_PI426266366,14369,-1,-10,-1,0,0,-17,0,-5,3
6054,0,23,158,222785330_EZ013964.1_27-427,CUST_38_PI426266366,11976,-2,3,1,-1,-1,-1,-1,0,0
6055,0,20,1,222785331_EZ013965.1_43-938,CUST_313_PI426227486,12628,8,15,1,3,0,2,1,2,1
6056,0,58,52,222785331_EZ013965.1_43-938,CUST_314_PI426227486,6289,1,1,-1,1,0,4,-5,3,4
6057,0,35,74,222785331_EZ013965.1_43-938,CUST_313_PI426227486,10050,15,20,1,-1,2,-1,0,3,1
6058,0,20,88,222785331_EZ013965.1_43-938,CUST_315_PI426227486,12503,0,2,-2,0,0,2,1,0,1
6059,0,36,91,222785331_EZ013965.1_43-938,CUST_313_PI426227486,9959,5,14,2,1,1,6,3,2,1
6060,0,54,123,222785331_EZ013965.1_43-938,CUST_314_PI426227486,6991,0,-1,1,0,0,5,-1,1,2
6061,0,36,134,222785331_EZ013965.1_43-938,CUST_315_PI426227486,9856,1,1,1,1,-3,1,0,-2,2
6062,0,66,138,222785331_EZ013965.1_43-938,CUST_315_PI426227486,4934,1,3,0,-1,1,0,1,0,0
6063,0,3,155,222785331_EZ013965.1_43-938,CUST_314_PI426227486,15339,0,3,1,0,1,2,-3,-1,1
6064,0,44,60,222785343_EZ013977.1_12-221,CUST_96_PI426266424,8581,0,0,-1,-2,2,0,0,-3,-1
6065,0,75,110,222785343_EZ013977.1_12-221,CUST_96_PI426266424,3472,1,2,-1,2,2,0,0,-1,1
6066,0,21,160,222785343_EZ013977.1_12-221,CUST_96_PI426266424,12303,-1,5,-1,-2,0,1,0,-1,1
6067,0,45,15,222785349_EZ013983.1_4-426,CUST_9_PI426244597,8521,145,165,47,52,30,42,26,31,-2
6068,0,16,26,222785349_EZ013983.1_4-426,CUST_7_PI426244597,13190,2,3,-1,0,1,-6,-2,1,1
6069,0,95,61,222785349_EZ013983.1_4-426,CUST_9_PI426244597,298,143,188,47,44,40,37,32,24,1
6070,0,46,97,222785349_EZ013983.1_4-426,CUST_8_PI426244597,8316,165,192,52,51,28,53,31,42,0
6071,0,80,129,222785349_EZ013983.1_4-426,CUST_7_PI426244597,2724,0,5,1,0,0,3,0,2,-2
6072,0,50,135,222785349_EZ013983.1_4-426,CUST_9_PI426244597,7641,127,137,34,41,22,31,25,31,-1
6073,0,17,163,222785349_EZ013983.1_4-426,CUST_7_PI426244597,13039,0,7,0,1,0,0,1,-1,-1
6074,0,35,163,222785349_EZ013983.1_4-426,CUST_8_PI426244597,10087,108,130,41,38,17,32,18,23,1
6075,0,38,163,222785349_EZ013983.1_4-426,CUST_8_PI426244597,9595,99,139,38,36,28,33,22,19,1
6076,0,30,70,222785364_EZ013998.1_58-988,CUST_316_PI426227486,10872,-1,-3,-1,-2,-3,0,2,-3,-1
6077,0,44,79,222785364_EZ013998.1_58-988,CUST_318_PI426227486,8653,1,1,0,-1,0,1,0,0,1
6078,0,4,88,222785364_EZ013998.1_58-988,CUST_316_PI426227486,15127,2,0,1,1,-1,3,1,-1,-1
6079,0,38,113,222785364_EZ013998.1_58-988,CUST_318_PI426227486,9620,0,-1,2,0,0,1,0,-2,-1
6080,0,41,149,222785364_EZ013998.1_58-988,CUST_318_PI426227486,9110,0,-1,1,2,-1,1,-4,0,-1
6081,0,76,163,222785364_EZ013998.1_58-988,CUST_316_PI426227486,3363,2,5,-2,1,0,-1,-1,-1,1
6082,0,2,34,222785523_EZ014035.1_43-321,CUST_42_PI426227495,15482,1,2,-1,1,0,2,3,1,3
6083,0,58,97,222785523_EZ014035.1_43-321,CUST_42_PI426227495,6348,2,3,0,2,-1,13,0,2,1
6084,0,93,124,222785523_EZ014035.1_43-321,CUST_42_PI426227495,513,4,8,2,4,1,14,1,1,-1
6085,0,83,36,222785537_EZ014049.1_90-656,CUST_118_PI426266349,2197,0,5,1,0,-1,3,0,-1,1
6086,0,59,49,222785537_EZ014049.1_90-656,CUST_120_PI426266349,6208,4,1,0,0,1,0,1,1,-3
6087,0,60,76,222785537_EZ014049.1_90-656,CUST_120_PI426266349,5949,0,2,3,0,-1,0,0,-2,1
6088,0,24,81,222785537_EZ014049.1_90-656,CUST_118_PI426266349,11932,-1,1,-1,1,-2,1,1,-1,0
6089,0,71,85,222785537_EZ014049.1_90-656,CUST_120_PI426266349,4222,1,0,0,-2,1,-1,1,0,-1
6090,0,17,102,222785537_EZ014049.1_90-656,CUST_118_PI426266349,12988,1,-2,1,1,2,5,1,1,0
6091,0,51,18,222785568_EZ014080.1_39-1112,CUST_915_PI426227498,7454,2,0,1,-5,0,1,1,0,-2
6092,0,92,42,222785568_EZ014080.1_39-1112,CUST_914_PI426227498,718,-1,1,0,2,-1,3,0,-1,2
6093,0,10,75,222785568_EZ014080.1_39-1112,CUST_916_PI426227498,14231,-13,1,0,1,0,0,-1,1,-1
6094,0,83,83,222785568_EZ014080.1_39-1112,CUST_915_PI426227498,2255,2,3,0,-1,1,1,0,-1,0
6095,0,74,84,222785568_EZ014080.1_39-1112,CUST_916_PI426227498,3649,-2,0,0,1,0,2,-3,2,-1
6096,0,79,93,222785568_EZ014080.1_39-1112,CUST_914_PI426227498,2906,1,-1,0,2,3,-1,-1,0,1
6097,0,47,112,222785568_EZ014080.1_39-1112,CUST_916_PI426227498,8063,0,-2,0,-4,0,2,1,0,0
6098,0,77,112,222785568_EZ014080.1_39-1112,CUST_914_PI426227498,3143,0,-1,1,-1,0,0,1,-3,0
6099,0,57,133,222785568_EZ014080.1_39-1112,CUST_915_PI426227498,6494,-2,2,0,1,1,0,0,-2,0
6100,0,32,6,222785568_EZ014080.1_39-815,CUST_918_PI426227498,10576,1,2,0,-1,1,2,0,1,1
6101,0,43,45,222785568_EZ014080.1_39-815,CUST_917_PI426227498,8834,0,-1,0,0,-1,1,2,-1,2
6102,0,93,45,222785568_EZ014080.1_39-815,CUST_918_PI426227498,634,1,6,1,-1,3,9,0,-1,1
6103,0,23,55,222785568_EZ014080.1_39-815,CUST_917_PI426227498,12109,3,-1,2,-1,0,0,1,0,-1
6104,0,5,59,222785568_EZ014080.1_39-815,CUST_918_PI426227498,15059,2,-5,1,2,-1,5,0,-6,0
6105,0,29,81,222785568_EZ014080.1_39-815,CUST_919_PI426227498,11112,1,2,3,0,0,1,1,-1,-2
6106,0,3,111,222785568_EZ014080.1_39-815,CUST_919_PI426227498,15361,1,3,1,-1,2,-1,-1,1,1
6107,0,25,143,222785568_EZ014080.1_39-815,CUST_919_PI426227498,11737,-3,0,-2,0,1,0,1,-1,1
6108,0,94,153,222785568_EZ014080.1_39-815,CUST_917_PI426227498,416,-2,6,-3,0,0,3,1,-1,2
6109,0,21,51,222785568_EZ014080.1_933-1112,CUST_922_PI426227498,12439,1,-1,0,-1,0,1,0,-2,0
6110,0,59,88,222785568_EZ014080.1_933-1112,CUST_922_PI426227498,6107,1,0,1,1,2,1,-1,0,-1
6111,0,15,152,222785568_EZ014080.1_933-1112,CUST_922_PI426227498,13291,0,0,0,-2,0,0,0,2,0
6112,0,37,1,222785578_EZ014090.1_225-659,CUST_321_PI426227486,9840,0,2,1,0,1,1,-1,-1,0
6113,0,92,35,222785578_EZ014090.1_225-659,CUST_319_PI426227486,803,1,0,1,-1,0,1,-1,1,0
6114,0,46,38,222785578_EZ014090.1_225-659,CUST_319_PI426227486,8264,0,0,-1,-4,-1,-2,1,0,2
6115,0,2,39,222785578_EZ014090.1_225-659,CUST_321_PI426227486,15561,0,1,0,1,0,0,0,0,1
6116,0,91,98,222785578_EZ014090.1_225-659,CUST_321_PI426227486,854,2,1,0,1,-2,2,0,-3,-2
6117,0,4,107,222785578_EZ014090.1_225-659,CUST_319_PI426227486,15199,2,2,0,2,2,1,-1,1,0
6118,0,59,13,222785584_EZ014096.1_58-1215,CUST_323_PI426227486,6226,1,3,-1,-1,0,1,0,0,3
6119,0,93,17,222785584_EZ014096.1_58-1215,CUST_324_PI426227486,648,-2,-7,2,0,2,1,0,2,1
6120,0,8,34,222785584_EZ014096.1_58-1215,CUST_322_PI426227486,14498,1,1,0,1,2,1,1,0,2
6121,0,75,51,222785584_EZ014096.1_58-1215,CUST_324_PI426227486,3583,0,3,-2,1,1,0,2,2,0
6122,0,94,84,222785584_EZ014096.1_58-1215,CUST_323_PI426227486,369,0,0,0,0,-3,0,0,1,2
6123,0,95,91,222785584_EZ014096.1_58-1215,CUST_324_PI426227486,283,2,-6,2,2,1,1,-2,-13,-1
6124,0,18,100,222785584_EZ014096.1_58-1215,CUST_323_PI426227486,12825,2,1,2,2,0,1,2,-3,0
6125,0,11,123,222785584_EZ014096.1_58-1215,CUST_322_PI426227486,14043,0,2,2,-1,0,-1,1,2,-1
6126,0,30,129,222785584_EZ014096.1_58-1215,CUST_322_PI426227486,10924,0,0,1,2,0,2,1,1,1
6127,0,73,16,222785590_EZ014102.1_1-1137,CUST_925_PI426227498,3847,1,1,1,1,1,3,0,-1,1
6128,0,54,31,222785590_EZ014102.1_1-1137,CUST_923_PI426227498,7037,-2,0,0,2,0,0,1,-1,0
6129,0,73,49,222785590_EZ014102.1_1-1137,CUST_923_PI426227498,3912,1,1,1,1,-1,2,1,3,-1
6130,0,7,65,222785590_EZ014102.1_1-1137,CUST_923_PI426227498,14728,1,1,1,0,0,1,1,1,1
6131,0,54,66,222785590_EZ014102.1_1-1137,CUST_925_PI426227498,6938,3,-5,-1,0,-1,2,0,1,-1
6132,0,56,111,222785590_EZ014102.1_1-1137,CUST_924_PI426227498,6669,0,3,2,2,1,0,2,0,-8
6133,0,37,122,222785590_EZ014102.1_1-1137,CUST_924_PI426227498,9698,2,2,0,2,-1,2,0,-1,-2
6134,0,48,158,222785590_EZ014102.1_1-1137,CUST_925_PI426227498,7876,-1,-10,1,-1,1,-2,1,0,-1
6135,0,88,161,222785590_EZ014102.1_1-1137,CUST_924_PI426227498,1396,2,0,1,0,-3,1,-1,-1,1
6136,0,47,17,222785590_EZ014102.1_524-859,CUST_928_PI426227498,8192,2,-1,1,1,0,2,0,-1,1
6137,0,6,51,222785590_EZ014102.1_524-859,CUST_926_PI426227498,14899,-1,2,0,2,0,0,-2,1,0
6138,0,64,90,222785590_EZ014102.1_524-859,CUST_928_PI426227498,5286,0,3,6,0,0,7,1,12,3
6139,0,18,105,222785590_EZ014102.1_524-859,CUST_928_PI426227498,12904,1,12,0,5,2,10,1,16,2
6140,0,50,113,222785590_EZ014102.1_524-859,CUST_926_PI426227498,7652,0,2,0,0,1,0,-1,0,0
6141,0,88,146,222785590_EZ014102.1_524-859,CUST_926_PI426227498,1322,-1,-4,1,1,1,1,-1,0,0
6142,0,75,10,222785593_EZ014105.1_24-926,CUST_13_PI426244593,3522,3,-1,-5,-2,1,0,-2,-6,1
6143,0,14,54,222785593_EZ014105.1_24-926,CUST_14_PI426244593,13504,1,-4,-1,0,0,2,1,1,1
6144,0,77,63,222785593_EZ014105.1_24-926,CUST_14_PI426244593,3249,-6,3,0,0,1,2,0,0,-6
6145,0,64,69,222785593_EZ014105.1_24-926,CUST_15_PI426244593,5378,0,0,0,-1,0,1,-1,1,1
6146,0,7,75,222785593_EZ014105.1_24-926,CUST_13_PI426244593,14723,2,1,1,1,0,1,1,1,3
6147,0,93,75,222785593_EZ014105.1_24-926,CUST_15_PI426244593,619,-5,2,-4,-3,-2,-2,0,-2,-1
6148,0,43,98,222785593_EZ014105.1_24-926,CUST_13_PI426244593,8726,4,0,1,2,0,1,-1,0,2
6149,0,7,107,222785593_EZ014105.1_24-926,CUST_14_PI426244593,14707,1,1,0,0,-6,4,-2,-1,1
6150,0,55,119,222785593_EZ014105.1_24-926,CUST_15_PI426244593,6829,0,0,-3,0,1,1,2,0,2
6151,0,82,48,222785605_EZ014117.1_3-536,CUST_327_PI426227486,2355,-2,3,1,0,1,1,0,-1,1
6152,0,27,76,222785605_EZ014117.1_3-536,CUST_325_PI426227486,11361,-1,-4,-1,-1,-1,-3,2,-3,1
6153,0,89,84,222785605_EZ014117.1_3-536,CUST_327_PI426227486,1189,3,-1,-1,-1,0,-13,-1,-9,-1
6154,0,30,99,222785605_EZ014117.1_3-536,CUST_325_PI426227486,10939,-3,1,1,-1,0,-1,0,2,2
6155,0,70,118,222785605_EZ014117.1_3-536,CUST_327_PI426227486,4288,-2,3,2,-2,1,1,1,-6,-1
6156,0,5,158,222785605_EZ014117.1_3-536,CUST_325_PI426227486,14928,0,2,0,-12,0,2,0,-2,-2
6157,0,67,15,222785609_EZ014121.1_86-1421,CUST_216_PI426226825,4913,3,4,-1,0,1,0,2,0,0
6158,0,74,65,222785609_EZ014121.1_86-1421,CUST_215_PI426226825,3740,3,3,1,0,1,-2,-2,-2,0
6159,0,9,68,222785609_EZ014121.1_86-1421,CUST_215_PI426226825,14317,0,2,-1,1,1,1,0,1,1
6160,0,5,129,222785609_EZ014121.1_86-1421,CUST_216_PI426226825,15024,1,10,-2,2,1,1,-1,2,2
6161,0,41,130,222785609_EZ014121.1_86-1421,CUST_216_PI426226825,9038,-1,5,-1,1,0,1,0,1,-2
6162,0,82,147,222785609_EZ014121.1_86-1421,CUST_214_PI426226825,2387,2,11,1,2,1,3,0,0,-3
6163,0,46,154,222785609_EZ014121.1_86-1421,CUST_214_PI426226825,8206,1,10,-2,2,0,-9,0,-2,-1
6164,0,61,157,222785609_EZ014121.1_86-1421,CUST_214_PI426226825,5826,1,12,-1,2,2,2,-1,3,0
6165,0,56,161,222785609_EZ014121.1_86-1421,CUST_215_PI426226825,6644,3,1,2,0,2,0,2,0,0
6166,0,85,1,222785609_EZ014121.1_86-853,CUST_33_PI426226825,1968,4,9,0,1,1,1,0,-1,0
6167,0,69,41,222785609_EZ014121.1_86-853,CUST_33_PI426226825,4572,1,0,0,1,2,2,-1,0,2
6168,0,64,45,222785609_EZ014121.1_86-853,CUST_32_PI426226825,5390,2,2,1,1,1,1,1,-1,1
6169,0,57,100,222785609_EZ014121.1_86-853,CUST_31_PI426226825,6429,-1,1,-5,-1,-1,0,1,1,-1
6170,0,72,116,222785609_EZ014121.1_86-853,CUST_32_PI426226825,3961,2,-12,-1,-1,0,4,1,2,1
6171,0,24,129,222785609_EZ014121.1_86-853,CUST_31_PI426226825,11908,0,-2,0,-3,-1,0,2,-1,-2
6172,0,47,137,222785609_EZ014121.1_86-853,CUST_31_PI426226825,8132,-1,-5,1,0,0,2,0,-2,0
6173,0,90,139,222785609_EZ014121.1_86-853,CUST_32_PI426226825,1079,1,-1,0,-4,1,2,-7,0,0
6174,0,18,142,222785609_EZ014121.1_86-853,CUST_33_PI426226825,12804,-1,5,0,-2,1,1,0,-1,1
