spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
91,0,28,5,109895125_DQ647776.1_101-739,CUST_14_PI426267032,11314,2,2,-2,0,0,1,-1,1,0
92,0,68,12,109895125_DQ647776.1_101-739,CUST_13_PI426267032,4669,2,2,-2,1,-1,-1,0,-1,1
93,0,56,23,109895125_DQ647776.1_101-739,CUST_14_PI426267032,6713,-2,-1,1,1,-1,1,-1,0,-5
94,0,3,52,109895125_DQ647776.1_101-739,CUST_15_PI426267032,15309,2,0,1,-1,1,1,1,1,-1
95,0,55,93,109895125_DQ647776.1_101-739,CUST_15_PI426267032,6842,1,1,-1,0,-1,0,2,1,0
96,0,22,97,109895125_DQ647776.1_101-739,CUST_13_PI426267032,12252,-1,-1,2,1,-1,0,-1,-1,-11
97,0,77,147,109895125_DQ647776.1_101-739,CUST_13_PI426267032,3207,-2,0,-1,2,1,1,-1,3,1
98,0,11,159,109895125_DQ647776.1_101-739,CUST_15_PI426267032,14025,1,1,1,1,-1,-1,0,0,-1
99,0,65,164,109895125_DQ647776.1_101-739,CUST_14_PI426267032,5085,2,7,0,0,0,2,0,-1,0
100,0,7,25,117650137_EF036564.1_239-937,CUST_126_PI426232940,14748,1178,1863,591,661,398,524,279,409,25
101,0,32,78,117650137_EF036564.1_239-937,CUST_126_PI426232940,10540,1727,2548,815,806,530,801,499,506,43
102,0,45,161,117650137_EF036564.1_239-937,CUST_126_PI426232940,8448,1092,1584,513,493,355,502,342,319,35
103,0,63,8,117937764_EF036594.1_58-1338,CUST_127_PI426232940,5491,193,284,147,136,92,130,59,83,5
104,0,57,21,117937764_EF036594.1_58-1338,CUST_127_PI426232940,6550,244,334,127,121,85,127,66,73,-1
105,0,78,51,117937764_EF036594.1_58-1338,CUST_129_PI426232940,3091,399,587,219,191,127,241,94,119,3
106,0,54,92,117937764_EF036594.1_58-1338,CUST_129_PI426232940,6925,430,604,253,232,159,217,100,120,3
107,0,2,104,117937764_EF036594.1_58-1338,CUST_129_PI426232940,15447,313,520,164,155,91,217,82,113,1
108,0,20,132,117937764_EF036594.1_58-1338,CUST_127_PI426232940,12481,218,319,92,103,59,108,48,65,-1
109,0,21,2,119654707_EF036595.2_367-1338,CUST_132_PI426232940,12382,579,837,354,309,203,401,156,203,11
110,0,84,3,119654707_EF036595.2_367-1338,CUST_130_PI426232940,2131,2054,2655,1067,984,648,1150,616,690,200
